id	parentId	type	text	options	target	signal
START	null	start	Good evening. LetÆs take a moment to reflect on your day.			
						
Q1	START	question	How would you describe your day overall?	Productive|Mixed|Tough|Frustrating		
Q2	Q1	question	"When something didnÆt go as planned, what was your first reaction?"	Think what I could improve|Felt it was out of my control|Adapted quickly|Waited for others		
Q1B	Q2	question	"When facing a challenge, where did your attention go?"	What I could control|What others should have done|Adjusting my approach|Why things went wrong		
						
D1	Q1B	decision				answer=Think what I could improve:A1_INT;answer=Adapted quickly:A1_INT;answer=What I could control:A1_INT;answer=Adjusting my approach:A1_INT;answer=Felt it was out of my control:A1_EXT;answer=Waited for others:A1_EXT;answer=What others should have done:A1_EXT;answer=Why things went wrong:A1_EXT
						
A1_INT	D1	reflection	"You stayed engaged with what you could influence today. Even when things were uncertain, you looked for ways to respond rather than react."			
A1_EXT	D1	reflection	"It seems your attention was pulled toward things outside your control. ThatÆs natural Ś but within those moments, there may have been small choices worth noticing."			
						
A1_CHECK	D1	decision				answer=Productive:A1_INT_STRONG;answer=Mixed:A1_INT_MODERATE;answer=Tough:A1_EXT_STRONG;answer=Frustrating:A1_EXT_STRONG
						
A1_INT_STRONG	A1_CHECK	reflection	"You not only stayed in control, but also experienced progress today. That combination builds confidence over time."			
A1_INT_MODERATE	A1_CHECK	reflection	"Even in a mixed day, you noticed where you could act. That awareness is a form of control."			
A1_EXT_STRONG	A1_CHECK	reflection	"It seems the day felt difficult and outside your control. ThatÆs real Ś but within those moments, there may have been small decisions worth noticing."			
						
A1_PAUSE	A1_CHECK	reflection	"Take a moment Ś when you think back, was there even one situation where your response changed the outcome slightly?"			
						
BRIDGE_1_2	A1_PAUSE	bridge	LetÆs shift from how you handled situations to how you showed up for others.		Q3	
						
Q3	BRIDGE_1_2	question	"In your interactions today, what stood out most?"	Helping someone|Completing my own work|Wanting recognition|Feeling others didnÆt contribute		
Q4	Q3	question	"When someone needed support, how did you respond?"	Proactively helped|Helped when asked|Focused on my own work|Felt they should manage themselves		
Q3B	Q4	question	How did you approach shared responsibilities?	Took initiative beyond role|Did what was expected|Felt others should do more|Stayed within my own tasks		
						
D2	Q3B	decision				answer=Helping someone:A2_CONTR;answer=Proactively helped:A2_CONTR;answer=Took initiative beyond role:A2_CONTR;answer=Wanting recognition:A2_ENT;answer=Feeling others didnÆt contribute:A2_ENT;answer=Felt they should manage themselves:A2_ENT;answer=Felt others should do more:A2_ENT;answer=Focused on my own work:A2_ENT;answer=Stayed within my own tasks:A2_ENT
						
A2_CONTR	D2	reflection	"You leaned toward contribution today. Your actions werenÆt just about completing tasks, but about supporting something larger than yourself."			
A2_ENT	D2	reflection	There were moments where your attention was on what others werenÆt doing or what you expected. What might have shifted if you focused on what you could offer instead?			
						
BRIDGE_2_3	A2_CONTR	bridge	Now letÆs widen the lens Ś beyond tasks and contributions.		Q5	
						
Q5	BRIDGE_2_3	question	What was your primary concern today?	My workload or stress|Completing tasks|Team coordination|Customer impact		
Q6	Q5	question	"When reflecting on today, who comes to mind most?"	Myself|My tasks|My team|Customers or users		
						
D3	Q6	decision				answer=My team:A3_OTHERS;answer=Customers or users:A3_OTHERS;answer=Myself:A3_SELF;answer=My tasks:A3_SELF
						
A3_SELF	D3	reflection	Your focus today stayed mostly within your own responsibilities. ThatÆs understandable Ś but sometimes meaning expands when we look beyond ourselves.			
A3_OTHERS	D3	reflection	You naturally considered others and the broader impact of your work. That kind of perspective often brings deeper clarity and purpose.			
						
SUMMARY	A3_SELF	summary	"You described your day as ""{Q1.answer}"", and when things didnÆt go as planned you ""{Q2.answer}"". That points toward a {axis1} sense of control. In your interactions, you focused on ""{Q3.answer}"", reflecting a {axis2} orientation. When you step back, your attention was mostly on ""{Q6.answer}"", revealing your perspective."			
						
END	SUMMARY	end	ThatÆs a thoughtful reflection for today. See you tomorrow.			
